ID	Alter	Gender	DeutschL1	Legasthenie	Univerb1	Univerb1F	Parenth1	Parenth2	Univerb2	Univerb2F	Univerb3	Univerb3F	Parenth3	Univerb4	Univerb4F	Parenth4	Parenth5	Univerb5	Univerb5F	Univerb6	Univerb6F	Univerb7	Univerb7F	Parenth6	Univerb8	Univerb8F	Anmerkungen
6230	24	m	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	NullNull	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	
6229	19	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Tee trinken	0	NullNull	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	5, 12: endlich,harte
6228	26	m	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Tee Trinken	0	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	
6227	30	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Teetrinken	1	StrichStrich	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	StrichStrich	Bogenschießen	1	
6226	21	w	1	0	Bergsteigen	1	NullNull	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Tee Trinken	0	NullNull	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	14: Korrektur von ZSS
6225	20	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	NullNull	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	
6224	27	w	1	0	Bergsteigen	1	X	NullNull	Platz zu machen	0	probegehört	1	NullNull	Tee Trinken	0	KommaNull	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	KommNull	Bogenschießen	1	
6223	29	m	1	0	Bergsteigen	1	KommaKomma	KommaKomma	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaßhaben	1	Seilzuspringen	1	Mutgemacht	0	KommaKomma	Bogenschießen	1	5: Komma vor diese gerutscht
6222	21	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	5: ganze NP kommatiert
6221	20	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	
6220	20	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	11: Vorfeldkomma, 16: Extrapositionskomma
6219	20	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	
9218	29	w	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	Probe gehört	0	NullNull	Tee Trinken	0	KommaKomma	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	16: zweimal Extrapositionskomma
6217	33	w	1	0	Bergsteigen	1	KommaKomma	KommaKomma	platz zu machen	0	Probe gehört	0	NullNull	Teetrinken	1	KommaKomma	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	7: Extrapositionskomma
6216	27	m	1	0	Bergsteigen	1	NullNull	NullNull	Platz zu machen	0	Probe gehört	1	NullNull	Teetrinken	1	NullNull	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	16: Extrapositionskomma
6215	27	m	1	0	Bergsteigen	1	KommaKomma	NullNull	Platz zu machen	0	probegehört	1	NullNull	Teetrinken	1	NullNull	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	KommaKomma	Bogenschießen	1	
6214	18	w	1	0	Berg steigen	1	NullNull	NullNull	Platz zu machen	0	probe gehört	0	NullNull	Tee trinken	0	NullNull	NullNull	Spaß haben	0	Seil zu springen	0	Mut gemacht	0	NullNull	Bogen schießen	1	16: Extrapositionskomma
6213	21	w	1	0	Bergsteigen	1	NullNull	NullNull	platz zu machen	0	probe gehört	0	NullNull	Tee trinken	0	KommaKomma	NullNull	Spaßhaben	1	Seil zu springen	0	Mut gemacht	0	NullNull	Bogenschießen	1	
